lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
024244,青森県,東通村,vill.higashidoori.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024252,青森県,風間浦村,kazamaura.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024261,青森県,佐井村,vill.sai.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024414,青森県,三戸町,town.sannohe.aomori.jp,True,relax,False,,town.sannohe.aomori.jp,True,relax,False,
024422,青森県,五戸町,town.gonohe.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024431,青森県,田子町,town.takko.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024457,青森県,南部町,town.aomori-nanbu.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024465,青森県,階上町,town.hashikami.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024503,青森県,新郷村,vill.shingo.aomori.jp,True,relax,False,,mx1.echna.ne.jp,False,,False,
032018,岩手県,盛岡市,city.morioka.iwate.jp,True,strict,False,,sc03-mail01.sbt-isc.jp,False,,False,
032026,岩手県,宮古市,city.miyako.iwate.jp,True,strict,False,,sc03-mail01.sbt-isc.jp,False,,False,
032034,岩手県,大船渡市,city.ofunato.iwate.jp,True,relax,False,,city-ofunato-iwate-jp.mail.protection.outlook.com,False,,False,
032051,岩手県,花巻市,city.hanamaki.iwate.jp,True,relax,False,,sc03-mail01.sbt-isc.jp,False,,False,
032069,岩手県,北上市,city.kitakami.iwate.jp,True,relax,False,,sc03-mail01.sbt-isc.jp,False,,False,
032077,岩手県,久慈市,city.kuji.iwate.jp,True,relax,False,,sc03-mail01.sbt-isc.jp,False,,False,
032085,岩手県,遠野市,city.tono.iwate.jp,True,relax,False,,sc03-mail01.sbt-isc.jp,False,,False,
032093,岩手県,一関市,city.ichinoseki.iwate.jp,True,relax,False,,sc03-mail01.sbt-isc.jp,False,,False,
032107,岩手県,陸前高田市,city.rikuzentakata.iwate.jp,True,strict,False,,sc03-mail01.sbt-isc.jp,False,,False,
032115,岩手県,釜石市,city.kamaishi.iwate.jp,True,strict,False,,city-kamaishi-iwate-jp.mail.protection.outlook.com,False,,False,
